StartIndx  EndIndex Length Period   Reps Errs Score
        1        38     38    6.0    6.3    0    32
        1        31     31    6.0    5.2    0    25
      469       656    188   63.3    3.0   88  -227
      529       689    161   65.0    2.5   70  -184
     2451      2469     19    3.0    6.3    6    -8
     2451      2472     22    3.0    7.3    8   -13
     2451      2468     18    3.0    6.0    5    -5
     2938      3000     63    4.3   14.5   41  -105
     2946      3000     55    4.2   13.3   35   -89
     2971      3000     30    4.3    7.0   16   -38
     2946      3016     71    4.1   17.5   49  -129
     3591      3759    169   32.4    5.2   77  -171
     3637      3785    149   32.2    4.6   57  -111
     3566      3759    194   65.3    3.0   85  -210
     3556      3750    195   32.3    6.0  100  -237
     3801      3924    124   32.8    3.8   59  -144
     3801      4000    200   32.8    6.1  108  -264
     3556      3620     65   32.0    2.0   23   -59
     3527      3618     92   33.3    2.8   45  -120
     3630      3750    121   32.3    3.8   46   -95
     3801      3875     75   32.0    2.3   24   -53
     3921      4000     80   32.4    2.5   24   -48
     3885      4000    116   33.9    3.4   55  -137
     3941      4029     89   32.4    2.8   35   -83
     3941      4033     93   32.3    2.9   38   -91
     3820      4017    198   99.0    2.0   71  -185
     4230      4284     55   20.0    2.8   26   -69
     4140      4173     34   10.0    3.4   19   -52
     5355      5375     21    1.0   20.0   19   -56
     5187      5205     19    1.0   19.0   12   -30
     5188      5205     18    1.0   18.0   12   -31
     5355      5373     19    1.0   19.0   17   -50
     5764      5782     19    1.0   19.0    8   -14
     5841      5859     19    3.0    6.3    3     4
     5764      5781     18    1.0   18.0    8   -15
     5766      5781     16    1.0   16.0    7   -13
     6626      6696     71    4.4   16.0   57  -161
     6640      6696     57    4.0   14.3   43  -119
     6640      6686     47    4.0   11.8   34   -93
     6657      6686     30    4.0    7.5   24   -70
     7499      7631    133   31.8    4.2   88  -249
     7501      7663    163   32.0    5.1  105  -289
     7495      7711    217   64.1    3.4  117  -314
     7501      8000    500  185.8    2.7  212  -529
     7501      8000    500  187.8    2.7  210  -524
     7495      8000    506  192.8    2.6  205  -506
     7751      7903    153   27.6    5.5   68  -137
     7751      7927    177   30.7    5.8   72  -138
     7545      7927    383   31.8   12.0  229  -566
     7571      7993    423   63.9    6.6  231  -565
     7503      8000    498  192.2    2.6  200  -493
     7625      7735    111   28.0    4.0   60  -146
     7602      7735    134   29.5    4.5   77  -195
     7545      7735    191   32.0    6.0  108  -274
     7751      7875    125   29.8    4.2   48   -90
     7751      7902    152   30.8    4.9   60  -115
     7751      7927    177   31.9    5.5   67  -124
     7751      8000    250   32.1    7.8  121  -267
     7532      7625     94   31.0    3.0   52  -145
     7545      7625     81   32.8    2.5   37   -98
     7629      7711     83   28.3    2.9   47  -128
     7629      7713     85   29.3    2.9   43  -113
     7629      7735    107   31.6    3.4   47  -112
     7751      7875    125   31.8    3.9   43   -78
     7876      8000    125   32.5    3.8   57  -136
     7627      7687     61   30.0    2.0   22   -56
     8001      8151    151   29.8    5.1   48   -64
     7975      8151    177   30.5    5.8   60   -89
     7929      8151    223   32.0    7.0   80  -130
